SETTLEMENTDATE,REGIONID,RRP
2024-01-01 00:05:00,QLD1,65.49158
2024-01-01 00:10:00,QLD1,79.4107
2024-01-01 00:15:00,QLD1,65.47648
2024-01-01 00:20:00,QLD1,61.59634
2024-01-01 00:25:00,QLD1,61.5405
2024-01-01 00:30:00,QLD1,64.51684
2024-01-01 00:35:00,QLD1,62.5429
2024-01-01 00:40:00,QLD1,61.27223
2024-01-01 00:45:00,QLD1,60.73642
2024-01-01 00:50:00,QLD1,60.86101
2024-01-01 00:55:00,QLD1,61.08987
2024-01-01 01:00:00,QLD1,54.75
2024-01-01 01:05:00,QLD1,49.54996
2024-01-01 01:10:00,QLD1,54.75
2024-01-01 01:15:00,QLD1,54.55
2024-01-01 01:20:00,QLD1,54.55
2024-01-01 01:25:00,QLD1,54.55
2024-01-01 01:30:00,QLD1,54.75
2024-01-01 01:35:00,QLD1,59.34496
2024-01-01 01:40:00,QLD1,54.75
2024-01-01 01:45:00,QLD1,44.35872
2024-01-01 01:50:00,QLD1,46.63136
2024-01-01 01:55:00,QLD1,39.85883
2024-01-01 02:00:00,QLD1,45.72744
2024-01-01 02:05:00,QLD1,48.22837
2024-01-01 02:10:00,QLD1,49.55
2024-01-01 02:15:00,QLD1,54.55
2024-01-01 02:20:00,QLD1,54.55
2024-01-01 02:25:00,QLD1,54.55
2024-01-01 02:30:00,QLD1,54.55
2024-01-01 02:35:00,QLD1,55.78966
2024-01-01 02:40:00,QLD1,59.08468
2024-01-01 02:45:00,QLD1,58.15808
2024-01-01 02:50:00,QLD1,55.33041
2024-01-01 02:55:00,QLD1,54.55
2024-01-01 03:00:00,QLD1,43.79718
2024-01-01 03:05:00,QLD1,49.55
2024-01-01 03:10:00,QLD1,49.55
2024-01-01 03:15:00,QLD1,49.55
2024-01-01 03:20:00,QLD1,54.55
2024-01-01 03:25:00,QLD1,49.55
2024-01-01 03:30:00,QLD1,54.55
2024-01-01 03:35:00,QLD1,54.55
2024-01-01 03:40:00,QLD1,54.55
2024-01-01 03:45:00,QLD1,49.55
2024-01-01 03:50:00,QLD1,54.55
2024-01-01 03:55:00,QLD1,54.75
2024-01-01 04:00:00,QLD1,59.61772
2024-01-01 04:05:00,QLD1,54.75
2024-01-01 04:10:00,QLD1,42.72627
2024-01-01 04:15:00,QLD1,42.82365
2024-01-01 04:20:00,QLD1,41.43805
2024-01-01 04:25:00,QLD1,49.55
2024-01-01 04:30:00,QLD1,49.55
2024-01-01 04:35:00,QLD1,42.36527
2024-01-01 04:40:00,QLD1,41.67999
2024-01-01 04:45:00,QLD1,39.40624
2024-01-01 04:50:00,QLD1,38.89476
2024-01-01 04:55:00,QLD1,38.88224
2024-01-01 05:00:00,QLD1,38.89855
2024-01-01 05:05:00,QLD1,42.12123
2024-01-01 05:10:00,QLD1,42.55866
2024-01-01 05:15:00,QLD1,38.75
2024-01-01 05:20:00,QLD1,38.67419
2024-01-01 05:25:00,QLD1,38.75
2024-01-01 05:30:00,QLD1,38.43673
2024-01-01 05:35:00,QLD1,38.42633
2024-01-01 05:40:00,QLD1,38.17081
2024-01-01 05:45:00,QLD1,34.55
2024-01-01 05:50:00,QLD1,22.94319
2024-01-01 05:55:00,QLD1,10.95469
2024-01-01 06:00:00,QLD1,10.53214
2024-01-01 06:05:00,QLD1,10.61057
2024-01-01 06:10:00,QLD1,10.67067
2024-01-01 06:15:00,QLD1,10.70997
2024-01-01 06:20:00,QLD1,0.0
2024-01-01 06:25:00,QLD1,-10.5
2024-01-01 06:30:00,QLD1,-10.5
2024-01-01 06:35:00,QLD1,-10.07
2024-01-01 06:40:00,QLD1,0.0
2024-01-01 06:45:00,QLD1,10.71656
2024-01-01 06:50:00,QLD1,18.84
2024-01-01 06:55:00,QLD1,34.55
2024-01-01 07:00:00,QLD1,59.1259
2024-01-01 07:05:00,QLD1,57.66078
2024-01-01 07:10:00,QLD1,49.55
2024-01-01 07:15:00,QLD1,49.55
2024-01-01 07:20:00,QLD1,18.84
2024-01-01 07:25:00,QLD1,34.55
2024-01-01 07:30:00,QLD1,18.84
2024-01-01 07:35:00,QLD1,34.55
2024-01-01 07:40:00,QLD1,-2.02
2024-01-01 07:45:00,QLD1,-10.5
2024-01-01 07:50:00,QLD1,0.0
2024-01-01 07:55:00,QLD1,0.0
2024-01-01 08:00:00,QLD1,0.0
2024-01-01 08:05:00,QLD1,0.0
2024-01-01 08:10:00,QLD1,54.53694
2024-01-01 08:15:00,QLD1,49.55
2024-01-01 08:20:00,QLD1,34.38894
2024-01-01 08:25:00,QLD1,34.55
2024-01-01 08:30:00,QLD1,34.55
2024-01-01 08:35:00,QLD1,45.67008
2024-01-01 08:40:00,QLD1,34.19978
2024-01-01 08:45:00,QLD1,34.21122
2024-01-01 08:50:00,QLD1,0.0
2024-01-01 08:55:00,QLD1,33.55134
2024-01-01 09:00:00,QLD1,33.56051
2024-01-01 09:05:00,QLD1,34.55
2024-01-01 09:10:00,QLD1,132.51503
2024-01-01 09:15:00,QLD1,49.55
2024-01-01 09:20:00,QLD1,49.55
2024-01-01 09:25:00,QLD1,34.55
2024-01-01 09:30:00,QLD1,34.55
2024-01-01 09:35:00,QLD1,34.55
2024-01-01 09:40:00,QLD1,51.1408
2024-01-01 09:45:00,QLD1,34.73082
2024-01-01 09:50:00,QLD1,38.75
2024-01-01 09:55:00,QLD1,34.55
2024-01-01 10:00:00,QLD1,34.55
2024-01-01 10:05:00,QLD1,34.55
2024-01-01 10:10:00,QLD1,51.4802
2024-01-01 10:15:00,QLD1,34.55
2024-01-01 10:20:00,QLD1,34.54994
2024-01-01 10:25:00,QLD1,34.55
2024-01-01 10:30:00,QLD1,34.28373
2024-01-01 10:35:00,QLD1,57.89191
2024-01-01 10:40:00,QLD1,54.43656
2024-01-01 10:45:00,QLD1,51.61735
2024-01-01 10:50:00,QLD1,49.78989
2024-01-01 10:55:00,QLD1,33.50171
2024-01-01 11:00:00,QLD1,50.95659
2024-01-01 11:05:00,QLD1,49.55
2024-01-01 11:10:00,QLD1,49.55
2024-01-01 11:15:00,QLD1,49.55
2024-01-01 11:20:00,QLD1,51.98612
2024-01-01 11:25:00,QLD1,49.55
2024-01-01 11:30:00,QLD1,52.34207
2024-01-01 11:35:00,QLD1,32.8575
2024-01-01 11:40:00,QLD1,38.75
2024-01-01 11:45:00,QLD1,50.49456
2024-01-01 11:50:00,QLD1,49.55
2024-01-01 11:55:00,QLD1,38.75
2024-01-01 12:00:00,QLD1,49.55
2024-01-01 12:05:00,QLD1,48.05
2024-01-01 12:10:00,QLD1,31.67122
2024-01-01 12:15:00,QLD1,32.27222
2024-01-01 12:20:00,QLD1,0.0
2024-01-01 12:25:00,QLD1,0.0
2024-01-01 12:30:00,QLD1,18.84
2024-01-01 12:35:00,QLD1,23.62
2024-01-01 12:40:00,QLD1,8.74869
2024-01-01 12:45:00,QLD1,18.84
2024-01-01 12:50:00,QLD1,8.84988
2024-01-01 12:55:00,QLD1,23.62
2024-01-01 13:00:00,QLD1,34.55
2024-01-01 13:05:00,QLD1,23.62
2024-01-01 13:10:00,QLD1,34.55
2024-01-01 13:15:00,QLD1,31.76272
2024-01-01 13:20:00,QLD1,32.18524
2024-01-01 13:25:00,QLD1,38.75
2024-01-01 13:30:00,QLD1,34.55
2024-01-01 13:35:00,QLD1,23.48
2024-01-01 13:40:00,QLD1,31.49003
2024-01-01 13:45:00,QLD1,32.44824
2024-01-01 13:50:00,QLD1,9.22984
2024-01-01 13:55:00,QLD1,17.57459
2024-01-01 14:00:00,QLD1,33.8056
2024-01-01 14:05:00,QLD1,53.10575
2024-01-01 14:10:00,QLD1,34.55
2024-01-01 14:15:00,QLD1,34.74063
2024-01-01 14:20:00,QLD1,34.55
2024-01-01 14:25:00,QLD1,34.55
2024-01-01 14:30:00,QLD1,44.91217
2024-01-01 14:35:00,QLD1,36.99
2024-01-01 14:40:00,QLD1,35.03014
2024-01-01 14:45:00,QLD1,38.75
2024-01-01 14:50:00,QLD1,35.05678
2024-01-01 14:55:00,QLD1,34.55
2024-01-01 15:00:00,QLD1,36.04706
2024-01-01 15:05:00,QLD1,18.84
2024-01-01 15:10:00,QLD1,18.84
2024-01-01 15:15:00,QLD1,29.61
2024-01-01 15:20:00,QLD1,59.24466
2024-01-01 15:25:00,QLD1,34.55
2024-01-01 15:30:00,QLD1,54.75005
2024-01-01 15:35:00,QLD1,38.4565
2024-01-01 15:40:00,QLD1,21.13278
2024-01-01 15:45:00,QLD1,36.06213
2024-01-01 15:50:00,QLD1,29.61
2024-01-01 15:55:00,QLD1,34.55
2024-01-01 16:00:00,QLD1,36.29131
2024-01-01 16:05:00,QLD1,35.87847
2024-01-01 16:10:00,QLD1,34.55
2024-01-01 16:15:00,QLD1,34.55
2024-01-01 16:20:00,QLD1,34.55
2024-01-01 16:25:00,QLD1,20.87423
2024-01-01 16:30:00,QLD1,38.75
2024-01-01 16:35:00,QLD1,36.02657
2024-01-01 16:40:00,QLD1,35.79524
2024-01-01 16:45:00,QLD1,35.51275
2024-01-01 16:50:00,QLD1,36.57743
2024-01-01 16:55:00,QLD1,49.55
2024-01-01 17:00:00,QLD1,59.53
2024-01-01 17:05:00,QLD1,54.55
2024-01-01 17:10:00,QLD1,49.55
2024-01-01 17:15:00,QLD1,59.23482
2024-01-01 17:20:00,QLD1,54.75
2024-01-01 17:25:00,QLD1,62.13582
2024-01-01 17:30:00,QLD1,67.31897
2024-01-01 17:35:00,QLD1,57.51264
2024-01-01 17:40:00,QLD1,42.60674
2024-01-01 17:45:00,QLD1,59.41677
2024-01-01 17:50:00,QLD1,59.53
2024-01-01 17:55:00,QLD1,61.87338
2024-01-01 18:00:00,QLD1,62.34009
2024-01-01 18:05:00,QLD1,54.75
2024-01-01 18:10:00,QLD1,40.73365
2024-01-01 18:15:00,QLD1,49.55
2024-01-01 18:20:00,QLD1,59.53
2024-01-01 18:25:00,QLD1,60.52836
2024-01-01 18:30:00,QLD1,62.72999
2024-01-01 18:35:00,QLD1,62.73006
2024-01-01 18:40:00,QLD1,85.55
2024-01-01 18:45:00,QLD1,85.55
2024-01-01 18:50:00,QLD1,85.75002
2024-01-01 18:55:00,QLD1,85.55
2024-01-01 19:00:00,QLD1,85.55
2024-01-01 19:05:00,QLD1,85.55
2024-01-01 19:10:00,QLD1,73.43297
2024-01-01 19:15:00,QLD1,70.5013
2024-01-01 19:20:00,QLD1,70.90265
2024-01-01 19:25:00,QLD1,64.25498
2024-01-01 19:30:00,QLD1,68.22221
2024-01-01 19:35:00,QLD1,68.6525
2024-01-01 19:40:00,QLD1,62.72992
2024-01-01 19:45:00,QLD1,62.73004
2024-01-01 19:50:00,QLD1,62.73016
2024-01-01 19:55:00,QLD1,63.96
2024-01-01 20:00:00,QLD1,60.76358
2024-01-01 20:05:00,QLD1,76.61807
2024-01-01 20:10:00,QLD1,79.03255
2024-01-01 20:15:00,QLD1,68.68831
2024-01-01 20:20:00,QLD1,67.51466
2024-01-01 20:25:00,QLD1,62.73008
2024-01-01 20:30:00,QLD1,62.73008
2024-01-01 20:35:00,QLD1,63.99527
2024-01-01 20:40:00,QLD1,65.55412
2024-01-01 20:45:00,QLD1,64.4171
2024-01-01 20:50:00,QLD1,62.73004
2024-01-01 20:55:00,QLD1,62.73004
2024-01-01 21:00:00,QLD1,62.05826
2024-01-01 21:05:00,QLD1,59.53
2024-01-01 21:10:00,QLD1,62.73016
2024-01-01 21:15:00,QLD1,59.53
2024-01-01 21:20:00,QLD1,61.99928
2024-01-01 21:25:00,QLD1,59.60008
2024-01-01 21:30:00,QLD1,59.61008
2024-01-01 21:35:00,QLD1,59.53
2024-01-01 21:40:00,QLD1,59.53
2024-01-01 21:45:00,QLD1,58.22376
2024-01-01 21:50:00,QLD1,55.43347
2024-01-01 21:55:00,QLD1,54.55
2024-01-01 22:00:00,QLD1,54.55
2024-01-01 22:05:00,QLD1,41.57113
2024-01-01 22:10:00,QLD1,59.53
2024-01-01 22:15:00,QLD1,59.53
2024-01-01 22:20:00,QLD1,54.55
2024-01-01 22:25:00,QLD1,40.52427
2024-01-01 22:30:00,QLD1,54.75
2024-01-01 22:35:00,QLD1,54.75
2024-01-01 22:40:00,QLD1,62.73012
2024-01-01 22:45:00,QLD1,54.75
2024-01-01 22:50:00,QLD1,54.55
2024-01-01 22:55:00,QLD1,54.75
2024-01-01 23:00:00,QLD1,54.55
2024-01-01 23:05:00,QLD1,54.55
2024-01-01 23:10:00,QLD1,60.3029
2024-01-01 23:15:00,QLD1,61.62004
2024-01-01 23:20:00,QLD1,60.74004
2024-01-01 23:25:00,QLD1,60.55141
2024-01-01 23:30:00,QLD1,63.09296
2024-01-01 23:35:00,QLD1,62.73012
2024-01-01 23:40:00,QLD1,64.15353
2024-01-01 23:45:00,QLD1,61.54012
2024-01-01 23:50:00,QLD1,62.14201
2024-01-01 23:55:00,QLD1,62.02012
2024-01-02 00:00:00,QLD1,61.74004
2024-01-02 00:05:00,QLD1,54.55
2024-01-02 00:10:00,QLD1,58.84033
2024-01-02 00:15:00,QLD1,58.79104
2024-01-02 00:20:00,QLD1,58.63575
2024-01-02 00:25:00,QLD1,58.70558
2024-01-02 00:30:00,QLD1,54.75
2024-01-02 00:35:00,QLD1,62.73
2024-01-02 00:40:00,QLD1,62.73
2024-01-02 00:45:00,QLD1,62.73
2024-01-02 00:50:00,QLD1,62.73
2024-01-02 00:55:00,QLD1,60.28548
2024-01-02 01:00:00,QLD1,59.64166
2024-01-02 01:05:00,QLD1,58.83094
2024-01-02 01:10:00,QLD1,58.76394
2024-01-02 01:15:00,QLD1,58.22923
2024-01-02 01:20:00,QLD1,58.78737
2024-01-02 01:25:00,QLD1,54.75
2024-01-02 01:30:00,QLD1,54.55
2024-01-02 01:35:00,QLD1,57.20348
2024-01-02 01:40:00,QLD1,57.1685
2024-01-02 01:45:00,QLD1,57.54186
2024-01-02 01:50:00,QLD1,57.14234
2024-01-02 01:55:00,QLD1,56.39387
2024-01-02 02:00:00,QLD1,54.75
2024-01-02 02:05:00,QLD1,55.98694
2024-01-02 02:10:00,QLD1,55.98397
2024-01-02 02:15:00,QLD1,56.3604
2024-01-02 02:20:00,QLD1,54.75
2024-01-02 02:25:00,QLD1,54.55
2024-01-02 02:30:00,QLD1,54.75
2024-01-02 02:35:00,QLD1,55.05834
2024-01-02 02:40:00,QLD1,54.75
2024-01-02 02:45:00,QLD1,54.55
2024-01-02 02:50:00,QLD1,54.55
2024-01-02 02:55:00,QLD1,54.55
2024-01-02 03:00:00,QLD1,54.55
2024-01-02 03:05:00,QLD1,49.55
2024-01-02 03:10:00,QLD1,49.55
2024-01-02 03:15:00,QLD1,54.75
2024-01-02 03:20:00,QLD1,54.55
2024-01-02 03:25:00,QLD1,54.55
2024-01-02 03:30:00,QLD1,54.04548
2024-01-02 03:35:00,QLD1,53.27157
2024-01-02 03:40:00,QLD1,54.55
2024-01-02 03:45:00,QLD1,54.55
2024-01-02 03:50:00,QLD1,53.14154
2024-01-02 03:55:00,QLD1,51.3499
2024-01-02 04:00:00,QLD1,53.51701
2024-01-02 04:05:00,QLD1,49.55
2024-01-02 04:10:00,QLD1,49.55
2024-01-02 04:15:00,QLD1,49.55
2024-01-02 04:20:00,QLD1,49.55
2024-01-02 04:25:00,QLD1,57.18786
2024-01-02 04:30:00,QLD1,57.18296
2024-01-02 04:35:00,QLD1,54.55
2024-01-02 04:40:00,QLD1,54.55
2024-01-02 04:45:00,QLD1,57.63
2024-01-02 04:50:00,QLD1,57.64143
2024-01-02 04:55:00,QLD1,57.66075
2024-01-02 05:00:00,QLD1,54.75
2024-01-02 05:05:00,QLD1,58.99004
2024-01-02 05:10:00,QLD1,65.83004
2024-01-02 05:15:00,QLD1,60.96686
2024-01-02 05:20:00,QLD1,60.52808
2024-01-02 05:25:00,QLD1,61.39199
2024-01-02 05:30:00,QLD1,61.62004
2024-01-02 05:35:00,QLD1,58.99
2024-01-02 05:40:00,QLD1,61.04331
2024-01-02 05:45:00,QLD1,56.74
2024-01-02 05:50:00,QLD1,61.61
2024-01-02 05:55:00,QLD1,59.17171
2024-01-02 06:00:00,QLD1,59.03005
2024-01-02 06:05:00,QLD1,62.7301
2024-01-02 06:10:00,QLD1,59.13
2024-01-02 06:15:00,QLD1,58.98
2024-01-02 06:20:00,QLD1,63.87378
2024-01-02 06:25:00,QLD1,59.93902
2024-01-02 06:30:00,QLD1,54.55
2024-01-02 06:35:00,QLD1,39.50375
2024-01-02 06:40:00,QLD1,49.55
2024-01-02 06:45:00,QLD1,49.55
2024-01-02 06:50:00,QLD1,49.55
2024-01-02 06:55:00,QLD1,37.00538
2024-01-02 07:00:00,QLD1,36.78345
2024-01-02 07:05:00,QLD1,36.78675
2024-01-02 07:10:00,QLD1,43.14765
2024-01-02 07:15:00,QLD1,38.38776
2024-01-02 07:20:00,QLD1,18.84
2024-01-02 07:25:00,QLD1,22.0664
2024-01-02 07:30:00,QLD1,18.84
2024-01-02 07:35:00,QLD1,20.62509
2024-01-02 07:40:00,QLD1,9.70536
2024-01-02 07:45:00,QLD1,30.50647
2024-01-02 07:50:00,QLD1,22.71588
2024-01-02 07:55:00,QLD1,23.12943
2024-01-02 08:00:00,QLD1,34.55
2024-01-02 08:05:00,QLD1,22.41308
2024-01-02 08:10:00,QLD1,36.05003
2024-01-02 08:15:00,QLD1,34.55
2024-01-02 08:20:00,QLD1,23.82129
2024-01-02 08:25:00,QLD1,0.0
2024-01-02 08:30:00,QLD1,10.27751
2024-01-02 08:35:00,QLD1,11.39712
2024-01-02 08:40:00,QLD1,34.55
2024-01-02 08:45:00,QLD1,34.75002
2024-01-02 08:50:00,QLD1,36.1886
2024-01-02 08:55:00,QLD1,36.18488
2024-01-02 09:00:00,QLD1,38.2971
2024-01-02 09:05:00,QLD1,36.21157
2024-01-02 09:10:00,QLD1,30.69992
